tweet_id,text,favorite_count,retweet_count,created_at
1516158553169743874,Im introducing a new trend from Sydney Australia for my PTI PTIofficial fellowsbhikarivsBots,0,0,Mon Apr 18 20:55:42 +0000 2022
1516158446302867459,Suspects are not accepting the courts verdict claimed tht this is a foreign conspiracy against them They will be,1,0,Mon Apr 18 20:55:17 +0000 2022
1516158339608203271,The hate amp polarisation fuelled by a web of lies network of Twitter trolls bots YouTube channels and WhatsApp,0,0,Mon Apr 18 20:54:51 +0000 2022
1516157713948020743,RehamKhan1 First of all who give them vote and secondly they are just lota who got the money and sold the vote o,0,0,Mon Apr 18 20:52:22 +0000 2022
1516157619848814603,AyshPPP LPG1 786sis zahys Khrm23 AKS50R ghazala03 s1ms E786G Sf786i LPG0 Bhii68 00Eshal itijx,1,0,Mon Apr 18 20:52:00 +0000 2022
1516157369042063368,BEGGERS CABINET ImranKhanVsWesternSlaves ImportedHukumatNaManzoor ImranKhan PTI,0,0,Mon Apr 18 20:51:00 +0000 2022
1516156774965030917,Where is the army chief Air chief Naval chief Joint chief And any judges High Court Supreme Court Midnight,0,1,Mon Apr 18 20:48:38 +0000 2022
1516156646975627264,Politics in Pakistan saw many deformities but this type of tactics were introduced post2014 One of the disappoin,16,4,Mon Apr 18 20:48:08 +0000 2022
1516156576691798028,BrigAshfaqHasan Where is the army chief Air chief Naval chief Joint chief And any judges High Court Supreme,0,0,Mon Apr 18 20:47:51 +0000 2022
1516155121025097728,Please please keep Twitter active to support ImranKhanPTI we need him more then he needs us they will use dirty,0,1,Mon Apr 18 20:42:04 +0000 2022
1516154962786631684,PTI Leader FawadChaudhry reveals to PTI Founder amp President of Pakistan DrArifAlvi that PTI is a political win,7,8,Mon Apr 18 20:41:26 +0000 2022
1516154312397058048,Generating trends on twitter is not a big thing but if this is what political parties are going to do next then yes,0,0,Mon Apr 18 20:38:51 +0000 2022
1516154283431022600,We Are Not Beggars Anymore We Are Bots ImportedGovtNotAcceptable pti jalsa PTIprotest ABSOLUTELYNOT,0,0,Mon Apr 18 20:38:44 +0000 2022
1516154031013519360,OfficialDGISPR courtpakistanImranKhan Pakistan Islamabad PakistanZindabad PTI COAS,0,0,Mon Apr 18 20:37:44 +0000 2022
1516153221727002624,Jis k ek baar kehny se log srf 24hours main itna deden tu usay kisi watch ya set ki kya need mulk ka koi faida he k,1,0,Mon Apr 18 20:34:31 +0000 2022
1516152341862531072,AMAZING analysis by meddytweetsPMLNs Mouth Pieceagain propagating against ImranKhanPTIs KeyboardWarriors as,0,1,Mon Apr 18 20:31:01 +0000 2022
1516151908184080394,24hours khul kr zra day to day awaam k kitny case nimtaye srf 7 daz ka he public kerden for every hourimrankhan,0,1,Mon Apr 18 20:29:18 +0000 2022
1516151238466887683,Checks amp balances are essential for any government to function and may seem cumbersome and redundant to lay people,7,1,Mon Apr 18 20:26:38 +0000 2022
1516151133642838019,TehreekeInsaaf PTI came into government with fake mandate and now started the trend with fake accountNow their,2,8,Mon Apr 18 20:26:13 +0000 2022
1516150037721812992,Imran Khans Fascism And How System Will React To Fix It Dr Aqdas Afza via YouTube,0,0,Mon Apr 18 20:21:52 +0000 2022
1516150022102032388,MoeedNj YouTube If establishment plants election commissioner then pti reference will turn down mark my words,0,0,Mon Apr 18 20:21:48 +0000 2022
1516149902325260292,PTI Song,14,14,Mon Apr 18 20:21:20 +0000 2022
1516149681306456067,ImranKhanPTI pakistan pti mian sahab what what what,0,0,Mon Apr 18 20:20:27 +0000 2022
1516149324824342529,MaryamNSharif Youre absolute member of team PTI mdm,0,0,Mon Apr 18 20:19:02 +0000 2022
1516148966085304325,Necessity of Islam for Pakistan Explained by Prof Dr Anis AhmadIslamophobia Pakistan Muslims imrankhan,1,0,Mon Apr 18 20:17:36 +0000 2022
1516148706696957960,PTI Another bad joke from the PMLN idiots So according to them if it so easy to keep a record breaking trend g,1,2,Mon Apr 18 20:16:35 +0000 2022
1516148454292004864,Why I cant post against imported Government Please check it ImranKhanPrimeMinister imrankhanPTI,0,0,Mon Apr 18 20:15:34 +0000 2022
1516148245134823427,Senator Faisal Javed doesnt know anything Next question PTI,0,0,Mon Apr 18 20:14:44 +0000 2022
1516147326221398016,PTIs terrorists wing,0,0,Mon Apr 18 20:11:05 +0000 2022
1516147297704640512,Play card DrMuradPTI is the exeducation minister of Punjab representing PTIofficial Cant spell placard prope,8,2,Mon Apr 18 20:10:59 +0000 2022
1516146802608820233,Ye apne officer lga kar match fix karenge imrankhanIf you fear defeat so much in this system then why not,0,0,Mon Apr 18 20:09:01 +0000 2022
1516146132501639168,BushrAo0 Beautiful 84 PTI,1,0,Mon Apr 18 20:06:21 +0000 2022
1516145264339390467,OfficialDGISPR Behind chief ECP Bajwa DGISPR SupremeCourtofpakistan PTI,0,0,Mon Apr 18 20:02:54 +0000 2022
1516145223763922946,mubasherlucman Sad to see you being sold so cheap There was time when you were fighting for nation by exposing,0,0,Mon Apr 18 20:02:44 +0000 2022
1516145173679456257,Tanvir Ilyas a business man is elected as a prime minister of so called ajkIf you have money you have everything,0,0,Mon Apr 18 20:02:32 +0000 2022
1516144985405812741,MIshaqDar50 mubasherlucman Sad to see you being sold so cheap There was time when you were fighting for nation,0,0,Mon Apr 18 20:01:47 +0000 2022
1516144892325818368,mubasherlucman Sad to see you being sold so cheap There was time when you were fighting for nation by exposing,0,0,Mon Apr 18 20:01:25 +0000 2022
1516144236479057924,These clowns are PTI Insafis poster boys of authentic journalism and main source of news,4,0,Mon Apr 18 19:58:49 +0000 2022
1516144030475767818,As per preliminary result of all polling stations issued by the ElectionCommissionofPakistan the PTI candidate N,1,0,Mon Apr 18 19:58:00 +0000 2022
1516143952239419396,ImranRiazKhan27 Maafi manglo Pakistani awam se awam maaf nai kry ge in ghadaaro ko PakistanZindabad PTI,0,0,Mon Apr 18 19:57:41 +0000 2022
